"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","has response data matching payload","firefox","Sat Apr 05 11:58:11 EEST 2025","failed","Sat Apr 05 11:58:11 EEST 2025","Endpoint /Books > POST Books","get-books.spec.ts","",""
"","7","should return status 200","firefox","Sat Apr 05 11:51:25 EEST 2025","passed","Sat Apr 05 11:51:25 EEST 2025","GET /authors/:id","get-authors.spec.ts","",""
"","2771","Add all elements to cart","UI tests","Thu Apr 10 12:18:02 EEST 2025","passed","Thu Apr 10 12:18:05 EEST 2025","addElementToCart","ui-tests\login.spec.ts","",""
"","253","Login #10: ""admin_user"" should succeed","chromium","Wed Apr 09 12:04:06 EEST 2025","passed","Wed Apr 09 12:04:06 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","203","Login #9: ""<empty>"" should fail","chromium","Wed Apr 09 10:24:03 EEST 2025","failed","Wed Apr 09 10:24:03 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","478","Login #4: ""test"" should fail","chromium","Thu Apr 10 10:05:24 EEST 2025","passed","Thu Apr 10 10:05:25 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","673","has 200 response code","firefox","Sat Apr 05 11:58:10 EEST 2025","failed","Sat Apr 05 11:58:11 EEST 2025","Endpoint /Books > DELETE Books by ID","get-books.spec.ts","",""
"","52","has 200 response code","webkit","Sat Apr 05 11:58:13 EEST 2025","failed","Sat Apr 05 11:58:13 EEST 2025","Endpoint /Books > PUT Books by ID","get-books.spec.ts","",""
"","1118","Login #2: ""invalid_user"" should fail","chromium","Tue Apr 08 23:49:57 EEST 2025","passed","Tue Apr 08 23:49:58 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","6","Should return status 200","firefox","Sat Apr 05 11:51:23 EEST 2025","passed","Sat Apr 05 11:51:23 EEST 2025","GET request to authors","get-authors.spec.ts","",""
"","2","has 200 response code","chromium","Tue Apr 08 11:26:04 EEST 2025","passed","Tue Apr 08 11:26:04 EEST 2025","Endpoint /Books > GET Books by ID","api-tests\get-books.spec.ts","",""
"","7","should return a non-empty array","chromium","Fri Apr 04 18:30:20 EEST 2025","passed","Fri Apr 04 18:30:20 EEST 2025","GET request to authors","api\authors.spec.ts","",""
"","6725","loginPage","chromium","Tue Apr 08 16:36:32 EEST 2025","failed","Tue Apr 08 16:36:39 EEST 2025","🔐 testing of login form","ui tests\login.spec.ts","",""
"","5431","logout","chromium","Thu Apr 10 12:13:19 EEST 2025","passed","Thu Apr 10 12:13:24 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","1180","Remove all cart items from remove button","chromium","Thu Apr 10 09:26:52 EEST 2025","passed","Thu Apr 10 09:26:53 EEST 2025","addElementToCart","ui tests\login.spec.ts","",""
"","2","has 200 response code","chromium","Mon Apr 07 17:16:16 EEST 2025","passed","Mon Apr 07 17:16:16 EEST 2025","GET Books by ID","get-books.spec.ts","",""
"","1833","Login #1: """" should fail","","Thu Apr 10 12:24:13 EEST 2025","passed","Thu Apr 10 12:24:15 EEST 2025","🔐 Data-Driven Login Form Tests","login.spec.ts","",""
"","167","book is no longer retrievable","chromium","Mon Apr 07 19:14:05 EEST 2025","failed","Mon Apr 07 19:14:05 EEST 2025","Endpoint /Books > DELETE Books by ID","get-books.spec.ts","",""
"","2203","Demo test loads example.com","","Thu Apr 10 12:27:42 EEST 2025","passed","Thu Apr 10 12:27:44 EEST 2025","","ui-tests\demo.spec.ts","",""
"","52","has 200 response code","chromium","Mon Apr 07 19:21:35 EEST 2025","failed","Mon Apr 07 19:21:35 EEST 2025","Endpoint /Books > POST Books","get-books.spec.ts","",""
"","9","has 200 response code","webkit","Sat Apr 05 11:58:11 EEST 2025","failed","Sat Apr 05 11:58:11 EEST 2025","Endpoint /Books > GET all Books","get-books.spec.ts","",""
"","2394","Remove all cart items from remove button","","Thu Apr 10 12:27:45 EEST 2025","passed","Thu Apr 10 12:27:48 EEST 2025","addElementToCart","ui-tests\login.spec.ts","",""
"","6","has response data as a non-empty array","chromium","Mon Apr 07 23:43:51 EEST 2025","passed","Mon Apr 07 23:43:51 EEST 2025","Endpoint /Books > GET all Books","get-books.spec.ts","",""
"","3376","Add all elements to cart","","Thu Apr 10 12:27:42 EEST 2025","passed","Thu Apr 10 12:27:46 EEST 2025","addElementToCart","ui-tests\login.spec.ts","",""
"","3451","logout","","Thu Apr 10 12:27:43 EEST 2025","passed","Thu Apr 10 12:27:46 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","2637","Login #6: ""locked_out_user"" should fail","","Thu Apr 10 12:27:42 EEST 2025","passed","Thu Apr 10 12:27:45 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","6","has all fields matching existing book","chromium","Mon Apr 07 19:13:44 EEST 2025","passed","Mon Apr 07 19:13:44 EEST 2025","Endpoint /Books > GET Books by ID","get-books.spec.ts","",""
"","4622","Login #4: ""test"" should fail","chromium","Thu Apr 10 12:13:18 EEST 2025","passed","Thu Apr 10 12:13:22 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","779","Login #4: ""empty_password"" should fail","chromium","Tue Apr 08 23:49:59 EEST 2025","passed","Tue Apr 08 23:50:00 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","6","has response data as a non-empty array","API tests","Thu Apr 10 12:17:33 EEST 2025","passed","Thu Apr 10 12:17:33 EEST 2025","Endpoint /Books > GET all Books","api-tests\get-books.spec.ts","",""
"","2543","Remove all cart items from remove button","","Thu Apr 10 12:24:16 EEST 2025","failed","Thu Apr 10 12:24:18 EEST 2025","addElementToCart","login.spec.ts","",""
"","2617","Login #5: ""standard_user"" should fail","","Thu Apr 10 12:24:14 EEST 2025","passed","Thu Apr 10 12:24:16 EEST 2025","🔐 Data-Driven Login Form Tests","login.spec.ts","",""
"","6","has 200 response code","firefox","Sat Apr 05 11:58:11 EEST 2025","failed","Sat Apr 05 11:58:11 EEST 2025","Endpoint /Books > PUT Books by ID","get-books.spec.ts","",""
"","471","Login #3: ""standard_user"" should fail","chromium","Thu Apr 10 10:05:24 EEST 2025","passed","Thu Apr 10 10:05:24 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
